id_pelanggan,download_speed,upload_speed,latency,packet_loss,skor_keluhan,label_kelas
SBG@ANDI,7.51,2.84,39,2.72,2.98,Sedang
SBG@DENTIS,8.31,3.88,22,1.41,3.86,Baik
SBG@HASAN,8.79,3.98,23,0.95,3.93,Baik
SBG@DOPI,9.62,4.64,8,0.38,4.87,Sangat Baik
SBG@VITA,6.98,3.26,31,2.18,3.16,Baik
SBG@JERI,9.45,4.62,10,0.09,4.93,Sangat Baik
SBG@JIMI,8.86,3.64,25,0.62,4.16,Baik
SBG@PUTRI,6.35,3.4,40,2.64,2.75,Baik
SBG@RISA,6.65,2.76,38,2.97,2.86,Sedang
SBG@SOPI,8.07,3.76,21,1.05,4.24,Baik
SBG@YUDA,8.42,3.66,23,0.66,4.03,Baik
SBG@ZIZI,8.97,3.71,23,1.12,3.95,Baik
SBG@MALA,8.75,3.57,20,1.39,4.2,Baik
SBG@MIKE,7.88,3.21,33,2.26,3.27,Sedang
SBG@MITA,8.71,3.54,16,0.8,4.33,Baik
SBG@NIA,8.24,3.83,18,1.19,3.52,Baik
SBG@ADIT,8.1,3.69,25,0.56,4.3,Baik
SBG@DELA,9.41,4.6,12,0.17,4.71,Sangat Baik
SBG@GEB,9.5,4.77,10,0.23,4.91,Baik
SBG@LOGES,8.72,3.68,24,0.99,3.89,Baik
SBG@RAMLI,8.22,3.74,22,1.12,4.06,Baik
SBG@RINTO,9.13,4.34,11,0.43,4.94,Sangat Baik
SBG@SELAN,9.42,4.06,11,0.34,4.6,Baik
SBG@SENTOSA,8.8,3.89,20,1.13,3.51,Baik
SBG@TALANA,5.8,1.92,66,4.87,1.53,Sedang
SBG@ZAINULHADI,8.42,3.72,20,1.21,3.8,Baik
SBG@FATIH,6.32,2.61,32,2.26,2.63,Sedang
SBG@NOFAL,8.31,3.92,25,1.27,3.73,Baik
SBG@ALPIN,9.83,4.02,14,0.2,4.51,Sangat Baik
SBG@ADIBA,8.7,3.73,16,1.24,3.99,Baik
SBG@ALDO,7.87,2.85,29,1.77,3.26,Sedang
SBG@ALIA,8.89,3.75,21,0.63,4.28,Baik
SBG@AN,8.36,3.63,23,1.14,4.37,Baik
SBG@ANDIN,6.13,3.44,31,2.49,3.22,Sedang
SBG@ANGGEL,7.53,2.87,38,2.56,3.32,Baik
SBG@ARI,8.88,3.9,24,1.35,3.83,Baik
SBG@ATENG,9.87,4.33,8,0.24,4.9,Baik
SBG@ATTOMI,9.89,4.9,5,0.04,4.89,Baik
SBG@AYU,8.72,3.85,21,1.19,4.32,Baik
SBG@CHENLONG,8.61,3.9,24,0.69,4.44,Baik
SBG@DENDI,9.71,4.45,13,0.1,4.95,Sangat Baik
SBG@DESI,8.37,3.88,17,1.24,4.43,Sedang
SBG@DIAN,8.22,3.96,20,0.9,4.41,Baik
SBG@DIMAS,9.79,4.15,13,0.37,4.9,Sangat Baik
SBG@DIRGAHAYU,8.69,3.71,25,1.16,4.01,Baik
SBG@ELSA,8.69,3.79,18,1.26,4.16,Baik
SBG@FATMA,9.23,4.53,14,0.24,4.61,Baik
SBG@FEBI,8.72,3.52,25,0.5,4.46,Sedang
SBG@FEBRI,8.09,3.6,22,0.53,3.63,Sangat Baik
SBG@GUS,8.85,3.74,21,1.01,4.03,Baik
SBG@HERMA,8.34,3.67,16,1.25,4.39,Baik
SBG@IWIT,9.47,4.32,15,0.36,4.79,Sangat Baik
SBG@IT,6.39,3.06,38,1.92,3.28,Sedang
SBG@JIHAN,9.49,4.71,15,0.48,4.77,Sangat Baik
SBG@KIMIN,8.01,3.56,19,1.3,4.49,Sangat Baik
SBG@KURNIA,9.87,4.2,6,0.43,4.94,Sangat Baik
SBG@LARA,8.96,3.77,25,1.46,3.77,Sangat Baik
SBG@LOCI2,8.37,3.79,23,0.73,3.59,Baik
SBG@ABEL,9.2,4.54,6,0.12,4.68,Sangat Baik
SBG@DEPRA,8.55,3.71,16,1.32,3.52,Baik
SBG@EPON,8.4,3.55,20,0.5,4.07,Baik
SBG@FAUZAN,7.75,3.44,29,1.89,3.37,Sedang
SBG@IRMA,8.98,3.84,23,0.74,4.39,Baik
SBG@LINA,8.06,3.56,22,0.64,3.7,Baik
SBG@NADA,8.09,3.5,17,1.11,4.28,Baik
SBG@RIRIN,4.92,2.2,43,4.92,2.2,Sedang
SBG@ROPI,7.09,3.42,26,2.54,2.73,Sedang
SBG@WEL,8.8,3.55,20,1.42,4.02,Baik
SBG@YELZA,6.49,3.3,35,2.0,2.68,Sedang
SBG@MEDY,9.58,4.3,7,0.17,4.79,Sangat Baik
SBG@MERY,8.02,3.53,22,1.36,3.81,Baik
SBG@MIA,9.64,4.23,15,0.25,4.83,Sangat Baik
SBG@MIMIS,7.62,3.22,39,2.87,2.78,Sedang
SBG@JAYA,7.82,3.41,26,2.54,3.16,Sedang
SBG@MUL,9.81,4.12,13,0.23,4.61,Baik
SBG@NESTA,8.01,3.69,25,0.62,3.83,Baik
